Date, RH_Min, RH_Value, RH_Status, Temp_Max, Temp_Value, Temp_Status
 2018-10-17 07:06:03.444415, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 07:08:03.487210, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 07:10:03.471804, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 07:12:03.427161, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 07:14:03.420801, 25, 53.1, Not Running, 105, 64.76, Not Running
 2018-10-17 07:16:03.433087, 25, 53.1, Not Running, 105, 64.76, Not Running
 2018-10-17 07:18:03.514719, 25, 53.1, Not Running, 105, 64.94, Not Running
 2018-10-17 07:20:03.478449, 25, 53.0, Not Running, 105, 64.94, Not Running
 2018-10-17 07:22:03.378628, 25, 53.1, Not Running, 105, 64.76, Not Running
 2018-10-17 07:24:03.365161, 25, 53.1, Not Running, 105, 64.94, Not Running
 2018-10-17 07:26:03.411453, 25, 53.0, Not Running, 105, 64.94, Not Running
 2018-10-17 07:28:03.488118, 25, 53.0, Not Running, 105, 64.94, Not Running
 2018-10-17 07:30:03.879116, 25, 53.1, Not Running, 105, 64.94, Not Running
 2018-10-17 07:32:03.561773, 25, 53.1, Not Running, 105, 64.94, Not Running
 2018-10-17 07:34:03.411499, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 07:36:03.423051, 25, 53.1, Not Running, 105, 64.94, Not Running
 2018-10-17 07:38:03.487624, 25, 53.1, Not Running, 105, 64.94, Not Running
 2018-10-17 07:40:03.537375, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 07:42:03.613917, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 07:44:03.360532, 25, 52.9, Not Running, 105, 65.12, Not Running
 2018-10-17 07:46:03.367987, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 07:48:03.399735, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 07:50:03.431894, 25, 53.0, Not Running, 105, 65.12, Not Running
 2018-10-17 07:52:03.462054, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 07:54:03.375521, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 07:56:03.354791, 25, 53.3, Not Running, 105, 65.3, Not Running
 2018-10-17 07:58:03.340299, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 08:00:03.479094, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 08:02:03.410523, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 08:04:03.408551, 25, 53.1, Not Running, 105, 65.3, Not Running
 2018-10-17 08:06:03.459185, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 08:08:03.392002, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 08:10:03.450471, 25, 53.0, Not Running, 105, 65.48, Not Running
 2018-10-17 08:12:03.493573, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 08:14:03.496661, 25, 53.2, Not Running, 105, 65.66, Not Running
 2018-10-17 08:16:03.399443, 25, 53.0, Not Running, 105, 65.66, Not Running
 2018-10-17 08:18:03.531082, 25, 52.9, Not Running, 105, 65.66, Not Running
 2018-10-17 08:20:03.476853, 25, 52.9, Not Running, 105, 65.66, Not Running
 2018-10-17 08:22:03.361155, 25, 52.9, Not Running, 105, 65.66, Not Running
 2018-10-17 08:24:03.873268, 25, 52.9, Not Running, 105, 65.84, Not Running
 2018-10-17 08:26:03.434836, 25, 52.8, Not Running, 105, 65.84, Not Running
 2018-10-17 08:28:03.418296, 25, 52.8, Not Running, 105, 65.84, Not Running
 2018-10-17 08:30:03.398107, 25, 52.8, Not Running, 105, 65.84, Not Running
 2018-10-17 08:32:03.409684, 25, 52.7, Not Running, 105, 65.84, Not Running
 2018-10-17 08:34:03.423267, 25, 52.7, Not Running, 105, 66.02, Not Running
 2018-10-17 08:36:03.351132, 25, 52.8, Not Running, 105, 66.02, Not Running
 2018-10-17 08:38:03.407119, 25, 52.7, Not Running, 105, 66.02, Not Running
 2018-10-17 08:40:03.496150, 25, 52.6, Not Running, 105, 66.02, Not Running
 2018-10-17 08:42:03.378398, 25, 52.6, Not Running, 105, 66.02, Not Running
 2018-10-17 08:44:03.400670, 25, 52.7, Not Running, 105, 66.2, Not Running
